rank,provider,avg_latency_ms,domains_resolved,domains_failed,reliability_pct,ipv4_servers,ipv6_servers
1,"SafeDNS",1,20,0,100.0,"195.46.39.39,195.46.39.40",""
2,"CIRA Protected",1,20,0,100.0,"149.112.121.20,149.112.122.20","2620:10A:80BB::20,2620:10A:80BC::20"
3,"360 Secure",1,20,0,100.0,"101.226.4.6,218.30.118.6",""
4,"Strongarm",1,20,0,100.0,"54.174.40.213,52.3.100.184",""
5,"ControlD",1,20,0,100.0,"76.76.2.0,76.76.10.0",""
6,"DNS0.eu",1,20,0,100.0,"193.110.81.0,185.253.5.0",""
7,"Cloudflare Malware",1,20,0,100.0,"1.1.1.2,1.0.0.2","2606:4700:4700::1112,2606:4700:4700::1002"
8,"Quad9 ECS",1,20,0,100.0,"9.9.9.11,149.112.112.11","2620:fe::11,2620:fe::fe:11"
9,"OpenDNS",1,20,0,100.0,"208.67.222.222,208.67.220.220","2620:119:35::35,2620:119:53::53"
10,"Yandex Safe",1,20,0,100.0,"77.88.8.88,77.88.8.2","2a02:6b8::feed:bad,2a02:6b8:0:1::feed:bad"
11,"CleanBrowsing Security",1,20,0,100.0,"185.228.168.9,185.228.169.9","2a0d:2a00:1::2,2a0d:2a00:2::2"
12,"Neustar Business",1,20,0,100.0,"156.154.70.4,156.154.71.4","2610:a1:1018::4,2610:a1:1019::4"
13,"Quad9",2,20,0,100.0,"9.9.9.9,149.112.112.112","2620:fe::fe,2620:fe::fe:9"
14,"Comodo Secure",2,20,0,100.0,"8.26.56.26,8.20.247.20",""
15,"Neustar Threat",2,20,0,100.0,"156.154.70.2,156.154.71.2","2610:a1:1018::2,2610:a1:1019::2"
16,"SkyDNS",3,20,0,100.0,"193.58.251.251",""
17,"DNSCEPAT Asia",3,20,0,100.0,"172.105.216.54","2400:8902::f03c:92ff:fe09:48cc"
18,"DNSCEPAT Europe",3,20,0,100.0,"5.2.75.231","2a04:52c0:101:98d::"
